1; ALT MAX: Altura máxima 15,50m incluindo pilotis obrigatório.
2; TX OCUP: Taxa de ocupação de 100% é obrigatória
3; GALERIA: Galeria obrigatória de 3,00m nas divisas voltadas para logradouro público.
4;" UOS: TIPO A - QE 7 CL Lts A, B e C; QE 11 AE L; QE 48 e QE 54"
5; TX OCUP, CFA B e CFA M:  Taxa de ocupação e coeficiente de aproveitamento excluem a cobertura.
6; ALT MAX:  Altura máxima inclui a cobertura.
7;(1) ALT MAX: Altura máxima 15,50m incluindo pilotis obrigatório.      (2) TX OCUP: Taxa de ocupação de 100% é obrigatória
8;"(3) GALERIA: Galeria obrigatória de 3,00m nas divisas voltadas para logradouro público.        (4) UOS: TIPO A - QE 7 CL Lts A, B e C; QE 11 AE L; QE 48 e QE 54"
9;(5) TX OCUP, CFA B e CFA M:  Taxa de ocupação e coeficiente de aproveitamento excluem a cobertura.      (6) ALT MAX:  Altura máxima inclui a cobertura.
